Product Title,Star,Rating,Review,Processor,RAM,ROM,Screen Size,Current Price,MRP,Image Link
ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen,4.4,"2,796",402,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹41,990","₹56,990",https://rukminim1.flixcart.com/image/312/312/kh9gbrk0/computer/e/6/d/asus-na-thin-and-light-laptop-original-imafxbj7gbsraqzk.jpeg?q=70
ASUS Vivobook Flip 14 (2022) Touch Panel Core i5 12th Gen,4.8,6,1,Intel Core i5 Processor (12th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 inch) Touchscreen,"₹79,990","₹94,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/g/p/-original-imaggskghfjzams4.jpeg?q=70
DELL Vostro Core i3 11th Gen,3.9,7,1,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 Inch),"₹41,090","₹44,427",https://rukminim1.flixcart.com/image/312/312/kzygpzk0/computer/u/n/j/vostro-3400-thin-and-light-laptop-dell-original-imagbuusnyzeqsjh.jpeg?q=70
MSI Core i9 12th Gen,0,0,0,Intel Core i9 Processor (12th Gen),32 GB DDR5,2 TB SSD,43.94 cm (17.3 Inch),"₹3,91,569","₹4,81,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/l/c/raider-ge77hx-12uhs-205in-gaming-laptop-msi-original-imaghffpfubseq3n.jpeg?q=70
ASUS EeeBook 14 with NumberPad Pentium Silver,4,90,10,Intel Pentium Silver Processor,8 GB DDR4,256 GB SSD,35.56 cm (14 Inch),"₹27,990","₹40,990",https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/t/8/-original-imageuecybhvepfx.jpeg?q=70
Lenovo ThinkPad E15 Core i3 11th Gen,4.2,62,7,Intel Core i3 Processor (11th Gen),4 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹43,900","₹59,239",https://rukminim1.flixcart.com/image/312/312/kngd0nk0/computer/k/q/5/na-laptop-lenovo-original-imag24kvhrgqvjut.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Core i5 11th Gen,4.4,602,82,Intel Core i5 Processor (11th Gen),16 GB DDR4,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch),"₹63,990","₹85,990",https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,4.3,825,101,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹69,990","₹86,990",https://rukminim1.flixcart.com/image/312/312/l15bxjk0/computer/8/4/i/-original-imagcsyu53jxgtqe.jpeg?q=70
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,"6,599",880,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,"₹59,999","₹69,999",https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
MSI Stealth 15M Core i7 11th Gen,4.2,29,4,Intel Core i7 Processor (11th Gen),16 GB DDR4,1 TB SSD,39.62 cm (15.6 inch),"₹1,16,990","₹1,62,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4.3,329,43,Intel Core i3 Processor (11th Gen),4 GB DDR4,256 GB SSD,39.62 cm (15.6 inches),"₹40,990","₹44,396",https://rukminim1.flixcart.com/image/312/312/ku5ufm80/computer/b/d/a/na-laptop-dell-original-imag7cstg8ebs8gd.jpeg?q=70
Lenovo Core i3 11th Gen,4.1,25,1,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹40,990","₹57,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/m/w/-original-imagg5jscr4hcuqc.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,631,50,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹36,990","₹60,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
ASUS VivoBook 16X Ryzen 7 Octa Core 5800H,4.7,6,0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,512 GB SSD,40.64 cm (16 Inch),"₹69,990","₹86,990",https://rukminim1.flixcart.com/image/312/312/l2rwzgw0/computer/r/j/y/m1603qa-mb711ws-thin-and-light-laptop-asus-original-imagefz9czfuhkje.jpeg?q=70
SAMSUNG Galaxy Book2 Core i5 12th Gen,4.3,9,2,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X,512 GB SSD,39.62 cm (15.6 Inch),"₹79,990","₹1,03,490",https://rukminim1.flixcart.com/image/312/312/l37mtu80/computer/o/o/w/np750xee-xb1in-thin-and-light-laptop-samsung-original-imagednvzzu7t23v.jpeg?q=70
Lenovo IdeaPad Core i3 10th Gen,4.3,62,8,Intel Core i3 Processor (10th Gen),4 GB DDR4,256 GB SSD,35.56 cm (14 Inch),"₹35,990","₹53,790",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/h/x/8/14iil05-thin-and-light-laptop-lenovo-original-imag7anttggbgmzm.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,"3,714",353,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹38,000","₹59,390",https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
DELL Core i5 11th Gen,0,0,0,Intel Core i5 Processor (11th Gen),16 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹72,199","₹93,600",https://rukminim1.flixcart.com/image/312/312/l4pxk7k0/computer/f/5/a/inspiron-3511-laptop-dell-original-imagfjser6futeje.jpeg?q=70
ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen,5,4,0,Intel Core i9 Processor (12th Gen),32 GB DDR5,1 TB SSD,39.62 cm (15.6 inch),"₹3,01,990","₹3,59,990",https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/4/i/k/-original-imagckcfgfba4fja.jpeg?q=70
Infinix INBook X1 Core i5 10th Gen,4.1,"1,552",240,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X,512 GB SSD,35.56 cm (14 inch),"₹37,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kw104nk0/computer/z/7/t/inbook-x1-pro-thin-and-light-laptop-infinix-original-imag8shw6pfzuc4e.jpeg?q=70
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,"2,169",190,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,599","₹76,890",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
DELL Vostro Core i3 11th Gen,4.3,160,16,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,38.0 cm (14.96 Inch),"₹42,690","₹54,510",https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/o/d/w/-original-imagf35eyyeezqpk.jpeg?q=70
MSI Vector GP66 Core i7 12th Gen,0,0,0,Intel Core i7 Processor (12th Gen),16 GB DDR5,1 TB SSD,39.62 cm (15.6 inch),"₹2,00,000","₹2,21,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/s/d/vector-gp66-12ugso-623in-gaming-laptop-msi-original-imaghb64yhyghrdg.jpeg?q=70
DELL Vostro Core i3 10th Gen,4,189,27,Intel Core i3 Processor (10th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹41,890","₹55,444",https://rukminim1.flixcart.com/image/312/312/kzvlua80/computer/e/y/f/vostro-3510-thin-and-light-laptop-dell-original-imagbsn5hgcnmxqs.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,4.5,304,40,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹74,990","₹1,02,090",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/h/15ach6-gaming-laptop-lenovo-original-imaggmxtjewnjpeq.jpeg?q=70
acer Aspire 5 Ryzen 5 Hexa Core 5500U,4.4,10,3,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹54,300","₹75,800",https://rukminim1.flixcart.com/image/312/312/kw9krrk0/computer/j/b/2/a515-45-thin-and-light-laptop-acer-original-imag8zcwh7uzqrc4.jpeg?q=70
acer Extensa Core i5 11th Gen,3.8,127,5,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹44,990","₹57,999",https://rukminim1.flixcart.com/image/312/312/l5e81ow0/computer/j/w/o/ex-215-54-thin-and-light-laptop-acer-original-imagg28wzdeny2jq.jpeg?q=70
ASUS TUF Gaming F15 (2022) Core i7 12th Gen,4.5,27,4,Intel Core i7 Processor (12th Gen),16 GB DDR5,512 GB SSD,39.62 cm (15.6 inch),"₹1,00,990","₹1,37,990",https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/l/7/m/-original-imagetj2awbvdju6.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.3,294,30,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹66,490","₹93,690",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
MSI Alpha 15 Ryzen 7 Octa Core 5800H,4.5,342,52,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,1 TB SSD,39.62 cm (15.6 inch),"₹1,09,590","₹1,45,990",https://rukminim1.flixcart.com/image/312/312/ktszgy80/computer/h/0/f/alpha-15-b5eek-029in-gaming-laptop-msi-original-imag72h7uptk3x9t.jpeg?q=70
HP 250 G8 Core i3 11th Gen,3.9,47,5,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹37,599","₹46,900",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/t/e/hp-250-g8-notebook-hp-original-imaggy7xh7jnch35.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,"3,714",353,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹38,000","₹59,390",https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
DELL Vostro Ryzen 5 Quad Core 3500U,4.3,12,2,AMD Ryzen 5 Quad Core Processor,8 GB DDR4,512 GB SSD,35.56 cm (14 inches),"₹49,690","₹61,740",https://rukminim1.flixcart.com/image/312/312/kq5iykw0/computer/q/j/2/vostro-3405-thin-and-light-laptop-dell-original-imag48ejkx33d9nn.jpeg?q=70
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.4,25,7,Intel Core i3 Processor (12th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹47,990","₹62,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/1/g/-original-imagg6t9hmxg6ndz.jpeg?q=70
MSI GF63 Thin Core i5 9th Gen,4.2,697,106,"15.6 inches Full HD IPS Thin Bezel Display (60Hz, 45% NTSC Color Gamut)",Intel Core i5 Processor (9th Gen),64 bit Windows 10 Operating System,1 TB HDD,"₹62,190","₹67,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,4.4,113,14,AMD Ryzen 7 Octa Core Processor,16 GB DDR5,512 GB SSD,39.62 cm (15.6 Inch),"₹97,000","₹1,28,990",https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/8/e/j/-original-imagckcffymgykfd.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,631,50,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹36,990","₹60,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,"2,169",190,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,599","₹76,890",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
ASUS Core i5 10th Gen,4.7,37,1,Intel Core i5 Processor (10th Gen),8 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹44,990","₹59,990",https://rukminim1.flixcart.com/image/312/312/l2f20sw0/computer/e/p/i/vivobook-15-thin-and-light-laptop-asus-original-imagdrjpvgngkhfd.jpeg?q=70
ASUS Zenbook 14X (2022) Space Edition Core i9 12th Gen,4.3,3,2,Intel Core i9 Processor (12th Gen),32 GB LPDDR5,1 TB SSD,35.56 cm (14 inch) Touchscreen,"₹1,59,990","₹2,06,990",https://rukminim1.flixcart.com/image/312/312/l30hmkw0/computer/y/r/c/-original-image8cfzz5chjas.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,4.5,304,40,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹74,990","₹1,02,090",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/h/15ach6-gaming-laptop-lenovo-original-imaggmxtjewnjpeq.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.3,294,30,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹66,490","₹93,690",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
MSI Stealth GS66 Core i7 12th Gen,0,0,0,Intel Core i7 Processor (12th Gen),32 GB DDR5,1 TB SSD,39.62 cm (15.6 Inch),"₹2,74,990","₹3,13,990",https://rukminim1.flixcart.com/image/312/312/kyag87k0/computer/h/i/l/stealth-gs66-12ugs-gaming-laptop-msi-original-imagak5jdsg4bgtp.jpeg?q=70
ASUS ExpertBook Core i3 11th Gen,0,0,0,Intel Core i3 Processor (11th Gen),4 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹35,990","₹42,990",https://rukminim1.flixcart.com/image/312/312/l15bxjk0/computer/2/7/y/expertbook-business-laptop-asus-original-imagcrzw77usztjg.jpeg?q=70
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,4.4,83,8,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,35.56 cm (14 Inch) Touchscreen,"₹61,990","₹83,890",https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/computer/n/n/1/14alc05-thin-and-light-laptop-lenovo-original-imagchxwvqxpfxrh.jpeg?q=70
acer Intel EVO Swift 5 Core i5 11th Gen,4.8,5,0,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 Inch) Touchscreen,"₹74,990","₹1,09,999",https://rukminim1.flixcart.com/image/312/312/kykgb680/computer/r/9/e/-original-imagarytzgkp5t3q.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,3.9,8,1,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹69,490","₹95,790",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen,4.7,3,0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5,512 GB SSD,35.56 cm (14 inch) Touchscreen,"₹1,09,990","₹1,22,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/z/r/-original-imaggskgx4ze73fn.jpeg?q=70
DELL Inspiron 3501 Core i3 11th Gen,4.6,5,1,Intel Core i3 Processor (11th Gen),4 GB DDR4,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch),"₹43,990","₹47,524",https://rukminim1.flixcart.com/image/312/312/ksj9dow0/computer/8/r/n/inspiron-3501-laptop-dell-original-imag62yyhhezjwxq.jpeg?q=70
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.1,50,10,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹50,990","₹67,990",https://rukminim1.flixcart.com/image/312/312/kwmfqfk0/computer/8/l/2/ideapad-3-14acl6-thin-and-light-laptop-lenovo-original-imag99kmftdeexpz.jpeg?q=70
DELL Inspiron Core i5 10th Gen,4.3,129,18,Intel Core i5 Processor (10th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹71,000","₹76,500",https://rukminim1.flixcart.com/image/312/312/ken59jk0/computer/c/2/w/dell-na-thin-and-light-laptop-original-imafv9twjmzpnbfz.jpeg?q=70
acer Aspire 5 Ryzen 5 Hexa Core AMD Ryzen 5,4.4,61,7,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹55,990","₹65,000",https://rukminim1.flixcart.com/image/312/312/krf91u80/computer/n/y/q/aspire-5-thin-and-light-laptop-acer-original-imag57xygyzhxaa7.jpeg?q=70
Lenovo Core i5 11th Gen,0,0,0,Intel Core i5 Processor (11th Gen),16 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹79,990","₹1,59,000",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/s/l/thinkpad-laptop-lenovo-original-imaghmpdaybywxrr.jpeg?q=70
Lenovo Core i5 11th Gen,0,0,0,Intel Core i5 Processor (11th Gen),16 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹63,290","₹89,990",https://rukminim1.flixcart.com/image/312/312/kv8fbm80/computer/p/t/6/ideapad-slim-5i-thin-and-light-laptop-lenovo-original-imag86n3qmesbkpj.jpeg?q=70
acer Aspire 5 Ryzen 5 Hexa Core 5500U,4.4,10,3,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹54,300","₹75,800",https://rukminim1.flixcart.com/image/312/312/kw9krrk0/computer/j/b/2/a515-45-thin-and-light-laptop-acer-original-imag8zcwh7uzqrc4.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
acer Predator Helios 300 Core i7 11th Gen,4.5,465,69,Intel Core i7 Processor (11th Gen),16 GB DDR4,1 TB HDD|512 GB SSD,39.62 cm (15.6 inch),"₹1,17,990","₹1,40,990",https://rukminim1.flixcart.com/image/312/312/ksgehzk0/computer/r/c/k/predator-helios-300-gaming-laptop-acer-original-imag6yjdmwdrksyn.jpeg?q=70
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.4,25,7,Intel Core i3 Processor (12th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹47,990","₹62,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/1/g/-original-imagg6t9hmxg6ndz.jpeg?q=70
GIGABYTE G5 GD Core i5 11th Gen,0,0,0,Intel Core i5 Processor (11th Gen),16 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹73,990","₹1,27,875",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/8/z/-original-imaggsy54zwpjhkp.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,631,50,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹36,990","₹60,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
acer Predator Helios 300 Core i9 11th Gen,4.4,49,5,Intel Core i9 Processor (11th Gen),16 GB DDR4,1 TB SSD,39.62 cm (15.6 Inch),"₹1,24,990","₹1,61,999",https://rukminim1.flixcart.com/image/312/312/ksgehzk0/computer/r/c/k/predator-helios-300-gaming-laptop-acer-original-imag6yjdmwdrksyn.jpeg?q=70
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,150,14,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹66,990","₹92,999",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imaghhe6ttguxzkq.jpeg?q=70
HP Pavilion Gaming Core i5 11th Gen,4.1,24,4,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹71,890","₹87,152",https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/b/q/h/na-gaming-laptop-hp-original-imag5bg5uwgmhmqj.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,"3,714",353,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹38,000","₹59,390",https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
MSI GF63 Thin Core i5 9th Gen,4.2,697,106,"15.6 inches Full HD IPS Thin Bezel Display (60Hz, 45% NTSC Color Gamut)",Intel Core i5 Processor (9th Gen),64 bit Windows 10 Operating System,1 TB HDD,"₹62,190","₹67,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
DELL Vostro Ryzen 5 Quad Core 3500U,4.3,12,2,AMD Ryzen 5 Quad Core Processor,8 GB DDR4,512 GB SSD,35.56 cm (14 inches),"₹49,690","₹61,740",https://rukminim1.flixcart.com/image/312/312/kq5iykw0/computer/q/j/2/vostro-3405-thin-and-light-laptop-dell-original-imag48ejkx33d9nn.jpeg?q=70
acer aspire 5 gaming Core i5 12th Gen,3.7,3,0,Intel Core i5 Processor (12th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹61,999","₹79,990",https://rukminim1.flixcart.com/image/312/312/l51d30w0/computer/s/g/x/a515-57g-gaming-laptop-acer-original-imagft36qhxsm89g.jpeg?q=70
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,"2,169",190,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,599","₹76,890",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,4.4,113,14,AMD Ryzen 7 Octa Core Processor,16 GB DDR5,512 GB SSD,39.62 cm (15.6 Inch),"₹97,000","₹1,28,990",https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/8/e/j/-original-imagckcffymgykfd.jpeg?q=70
ASUS Zenbook 14X (2022) Space Edition Core i9 12th Gen,4.3,3,2,Intel Core i9 Processor (12th Gen),32 GB LPDDR5,1 TB SSD,35.56 cm (14 inch) Touchscreen,"₹1,59,990","₹2,06,990",https://rukminim1.flixcart.com/image/312/312/l30hmkw0/computer/y/r/c/-original-image8cfzz5chjas.jpeg?q=70
ASUS Core i5 10th Gen,4.7,37,1,Intel Core i5 Processor (10th Gen),8 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹44,990","₹59,990",https://rukminim1.flixcart.com/image/312/312/l2f20sw0/computer/e/p/i/vivobook-15-thin-and-light-laptop-asus-original-imagdrjpvgngkhfd.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,4.5,304,40,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹74,990","₹1,02,090",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/h/15ach6-gaming-laptop-lenovo-original-imaggmxtjewnjpeq.jpeg?q=70
MSI Stealth GS66 Core i7 12th Gen,0,0,0,Intel Core i7 Processor (12th Gen),32 GB DDR5,1 TB SSD,39.62 cm (15.6 Inch),"₹2,74,990","₹3,13,990",https://rukminim1.flixcart.com/image/312/312/kyag87k0/computer/h/i/l/stealth-gs66-12ugs-gaming-laptop-msi-original-imagak5jdsg4bgtp.jpeg?q=70
ASUS ExpertBook Core i3 11th Gen,0,0,0,Intel Core i3 Processor (11th Gen),4 GB DDR4,256 GB SSD,39.62 cm (15.6 inch),"₹35,990","₹42,990",https://rukminim1.flixcart.com/image/312/312/l15bxjk0/computer/2/7/y/expertbook-business-laptop-asus-original-imagcrzw77usztjg.jpeg?q=70
acer Intel EVO Swift 5 Core i5 11th Gen,4.8,5,0,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 Inch) Touchscreen,"₹74,990","₹1,09,999",https://rukminim1.flixcart.com/image/312/312/kykgb680/computer/r/9/e/-original-imagarytzgkp5t3q.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.3,294,30,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹66,490","₹93,690",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
